"acc" "block"
0.642857 33
0.5 33
0.5 33
0.571429 33
0.5 33
0.571429 33
0.571429 34
0.607143 34
0.571429 34
0.607143 34
0.464286 34
0.5 34
0.428571 34
0.607143 34
0.535714 34
0.642857 34
0.607143 34
0.428571 34
0.535714 34
0.571429 34
0.535714 34
0.5 34
0.607143 34
0.535714 34
0.428571 34
0.5 34
0.642857 34
0.5 34
0.535714 34
0.714286 34
0.571429 34
0.642857 35
0.571429 35
0.392857 35
0.464286 35
0.642857 35
0.571429 35
0.571429 35
0.607143 35
0.607143 35
0.571429 35
0.464286 35
0.428571 35
0.607143 35
0.428571 35
0.571429 35
0.678571 35
0.571429 35
0.535714 35
0.535714 35
0.535714 35
0.5 35
0.607143 35
0.535714 35
0.642857 35
0.785714 35
0.535714 36
0.571429 36
0.535714 36
0.535714 36
0.428571 36
0.571429 36
0.535714 36
0.464286 36
0.5 36
0.5 36
0.5 36
0.678571 36
0.642857 36
0.464286 36
0.464286 36
0.642857 36
0.535714 36
0.321429 36
0.535714 36
0.607143 36
0.535714 36
0.642857 36
0.714286 36
0.535714 36
0.535714 36
