"acc" "trial" "block"
0.347826 462 19
0.347826 463 19
0.347826 464 19
0.434783 465 19
0.347826 466 19
0.434783 467 19
0.26087 468 19
0.391304 469 19
0.391304 470 19
0.304348 471 19
0.217391 472 19
0.478261 473 19
0.26087 474 19
0.26087 475 19
0.173913 476 20
0.304348 477 20
0.478261 478 20
0.304348 479 20
0.434783 480 20
0.434783 481 20
0.173913 482 20
0.26087 483 20
0.26087 484 20
0.434783 485 20
0.347826 486 20
0.391304 487 20
0.434783 488 20
0.347826 489 20
0.434783 490 20
0.391304 491 20
0.217391 492 20
0.26087 493 20
0.347826 494 20
0.565217 495 20
0.521739 496 20
0.391304 497 20
0.347826 498 20
0.434783 499 20
0.217391 500 20
0.391304 501 21
0.217391 502 21
0.347826 503 21
0.217391 504 21
0.478261 505 21
0.347826 506 21
0.434783 507 21
0.304348 508 21
0.217391 509 21
0.434783 510 21
0.434783 511 21
0.521739 512 21
0.391304 513 21
0.347826 514 21
0.26087 515 21
0.304348 516 21
0.391304 517 21
0.391304 518 21
0.478261 519 21
0.347826 520 21
0.304348 521 21
0.26087 522 21
0.391304 523 21
0.434783 524 21
0.347826 525 21
0.347826 526 22
0.347826 527 22
0.304348 528 22
0.086957 529 22
0.391304 530 22
0.347826 531 22
0.173913 532 22
0.347826 533 22
0.217391 534 22
0.217391 535 22
0.26087 536 22
0.173913 537 22
0.130435 538 22
0.26087 539 22
0.217391 540 22
0.26087 541 22
0.26087 542 22
0.304348 543 22
0.304348 544 22
0.26087 545 22
0.434783 546 22
0.304348 547 22
0.130435 548 22
0.217391 549 22
0.217391 550 22
0.130435 551 23
0.217391 552 23
0.304348 553 23
0.26087 554 23
0.434783 555 23
0.304348 556 23
0.304348 557 23
0.26087 558 23
0.26087 559 23
0.173913 560 23
0.521739 561 23
0.217391 562 23
0.130435 563 23
0.26087 564 23
0.304348 565 23
0.26087 566 23
0.391304 567 23
0.304348 568 23
0.347826 569 23
0.304348 570 23
0.26087 571 23
0.173913 572 23
0.347826 573 23
0.304348 574 23
0.173913 575 23
0.521739 576 24
0.217391 577 24
0.347826 578 24
0.304348 579 24
0.217391 580 24
0.347826 581 24
0.086957 582 24
0.347826 583 24
0.26087 584 24
0.217391 585 24
0.26087 586 24
0.304348 587 24
0.391304 588 24
0.347826 589 24
0.347826 590 24
0.391304 591 24
0.26087 592 24
0.347826 593 24
0.347826 594 24
0.217391 595 24
0.521739 596 24
0.26087 597 24
0.347826 598 24
0.26087 599 24
0.304348 600 24
0.434783 601 25
0.217391 602 25
0.434783 603 25
0.304348 604 25
0.391304 605 25
0.434783 606 25
0.478261 607 25
0.478261 608 25
0.478261 609 25
0.695652 610 25
0.608696 611 25
0.434783 612 25
0.73913 613 25
0.565217 614 25
0.565217 615 25
0.521739 616 25
0.608696 617 25
0.521739 618 25
0.478261 619 25
0.695652 620 25
0.652174 621 25
0.652174 622 25
0.521739 623 25
0.782609 624 25
0.608696 625 25
0.478261 626 26
0.695652 627 26
0.782609 628 26
0.73913 629 26
0.608696 630 26
0.695652 631 26
0.826087 632 26
0.695652 633 26
0.565217 634 26
0.608696 635 26
0.608696 636 26
0.73913 637 26
0.956522 638 26
0.695652 639 26
0.565217 640 26
0.608696 641 26
0.565217 642 26
0.521739 643 26
0.695652 644 26
0.652174 645 26
0.73913 646 26
0.652174 647 26
0.521739 648 26
0.434783 649 26
0.478261 650 26
0.826087 651 27
0.782609 652 27
0.695652 653 27
0.521739 654 27
0.608696 655 27
0.565217 656 27
0.73913 657 27
0.695652 658 27
0.565217 659 27
0.73913 660 27
0.608696 661 27
0.73913 662 27
0.826087 663 27
0.565217 664 27
0.826087 665 27
0.73913 666 27
0.782609 667 27
0.608696 668 27
0.652174 669 27
0.695652 670 27
0.73913 671 27
0.695652 672 27
0.782609 673 27
0.782609 674 27
0.73913 675 27
0.73913 676 28
0.652174 677 28
0.652174 678 28
0.695652 679 28
0.652174 680 28
0.695652 681 28
0.652174 682 28
0.652174 683 28
0.521739 684 28
0.695652 685 28
0.434783 686 28
0.695652 687 28
0.652174 688 28
0.565217 689 28
0.608696 690 28
0.652174 691 28
0.652174 692 28
0.565217 693 28
0.695652 694 28
0.652174 695 28
0.826087 696 28
0.434783 697 28
0.73913 698 28
0.695652 699 28
0.565217 700 28
0.565217 701 29
0.608696 702 29
0.652174 703 29
0.695652 704 29
0.652174 705 29
0.695652 706 29
0.652174 707 29
0.73913 708 29
0.695652 709 29
0.652174 710 29
0.521739 711 29
0.73913 712 29
0.73913 713 29
0.73913 714 29
0.565217 715 29
0.652174 716 29
0.73913 717 29
0.782609 718 29
0.782609 719 29
0.869565 720 29
0.826087 721 29
0.695652 722 29
0.782609 723 29
0.73913 724 29
0.826087 725 29
0.782609 726 30
0.565217 727 30
0.782609 728 30
0.695652 729 30
0.608696 730 30
0.73913 731 30
0.869565 732 30
0.652174 733 30
0.73913 734 30
0.652174 735 30
0.913043 736 30
0.608696 737 30
0.73913 738 30
0.782609 739 30
0.695652 740 30
0.913043 741 30
0.652174 742 30
0.608696 743 30
0.782609 744 30
0.652174 745 30
0.826087 746 30
0.695652 747 30
0.782609 748 30
0.782609 749 30
0.608696 750 30
0.521739 751 31
0.826087 752 31
0.782609 753 31
0.73913 754 31
0.608696 755 31
0.695652 756 31
0.73913 757 31
0.695652 758 31
0.521739 759 31
0.695652 760 31
0.782609 761 31
0.73913 762 31
0.73913 763 31
0.695652 764 31
0.521739 765 31
0.652174 766 31
0.695652 767 31
0.652174 768 31
0.652174 769 31
0.652174 770 31
0.652174 771 31
0.695652 772 31
0.565217 773 31
0.608696 774 31
0.869565 775 31
0.73913 776 32
0.652174 777 32
0.782609 778 32
0.782609 779 32
0.73913 780 32
0.608696 781 32
0.652174 782 32
0.478261 783 32
0.521739 784 32
0.73913 785 32
0.565217 786 32
0.826087 787 32
0.565217 788 32
0.782609 789 32
0.695652 790 32
0.521739 791 32
0.695652 792 32
0.695652 793 32
0.695652 794 32
0.652174 795 32
0.73913 796 32
0.608696 797 32
0.73913 798 32
0.695652 799 32
0.608696 800 32
0.565217 801 33
0.565217 802 33
0.608696 803 33
