"condition" "subject" "block" "acc_mean" "rt_mean"
1 13 15 0.2 1.800484
1 15 15 0.28 1.475732
1 16 15 0.2 1.230076
1 18 15 0.56 1.655548
1 19 15 0.72 1.142244
1 20 15 0.64 0.749596
1 21 15 0.12 1.59464
1 23 15 0.44 0.749164
1 24 15 0.48 1.18496
1 26 15 0.76 1.339764
1 27 15 0.44 1.436976
1 28 15 0.32 0.981288
1 29 15 0.52 4.230136
1 30 15 0.52 0.915128
1 2 16 0.4 0.759852
1 3 16 0.52 2.08004
1 5 16 0.68 1.094216
1 6 16 0.28 0.99818
1 7 16 0.44 0.9077
1 9 16 0.16 1.17334
1 10 16 0.4 2.37374
1 11 16 0.52 1.172488
1 12 16 0.24 1.558452
1 13 16 0.24 1.218336
1 15 16 0.2 0.83322
1 16 16 0.2 2.134452
1 18 16 0.24 0.608932
1 19 16 0.44 0.891908
1 20 16 0.6 0.663708
1 21 16 0.12 0.773696
1 23 16 0.12 0.509068
1 24 16 0.16 1.128348
1 26 16 0.32 1.562792
1 27 16 0.36 1.430748
1 28 16 0.2 0.765796
1 29 16 0.28 5.63946
1 30 16 0.48 0.768276
1 2 17 0.36 0.794508
1 3 17 0.36 0.638172
1 5 17 0.28 1.725536
1 6 17 0.12 0.7302
1 7 17 0.4 2.535096
1 9 17 0.16 1.46964
1 10 17 0.4 2.963768
1 11 17 0.4 1.37374
1 12 17 0.28 0.512968
1 13 17 0.2 1.202436
1 15 17 0.32 0.652572
1 16 17 0.24 0.855048
1 18 17 0.24 0.447436
1 19 17 0.2 0.587652
1 20 17 0.56 0.800312
1 21 17 0.2 0.72118
1 23 17 0.12 0.49164
1 24 17 0.32 1.109548
1 26 17 0.2 3.774648
1 27 17 0.32 1.257012
1 28 17 0.28 0.712248
1 29 17 0.6 4.08162
1 30 17 0.48 1.055644
1 2 18 0.36 0.958864
1 3 18 0.28 0.57052
1 5 18 0.28 2.26128
1 6 18 0.24 0.707304
1 7 18 0.32 0.69214
1 9 18 0.16 0.996712
1 10 18 0.16 1.439748
1 11 18 0.36 0.885224
1 12 18 0.16 0.636848
1 13 18 0.48 1.14576
1 15 18 0.16 0.703236
1 16 18 0.32 1.226584
1 18 18 0.44 0.79264
1 19 18 0.28 0.87224
1 20 18 0.6 0.878444
1 21 18 0.2 0.563496
1 23 18 0.16 1.025576
1 24 18 0.36 0.961412
1 26 18 0.48 2.336216
1 27 18 0.32 1.627236
1 28 18 0.32 0.88576
1 29 18 0.52 6.026196
1 30 18 0.56 1.5327
1 2 19 0.36 0.63574
1 3 19 0.32 0.617632
1 5 19 0.32 1.299664
1 6 19 0.24 0.951716
1 7 19 0.44 0.864584
1 9 19 0.16 1.405032
1 10 19 0.52 1.033884
1 11 19 0.64 1.093444
1 12 19 0.4 1.65956
1 13 19 0.24 1.665804
1 15 19 0.2 0.723004
1 16 19 0.32 1.655396
1 18 19 0.4 1.836824
1 19 19 0.12 0.459124
1 20 19 0.48 0.733848
1 21 19 0.36 0.585092
1 23 19 0.2 1.092504
1 24 19 0.44 0.729768
1 26 19 0.48 2.88394
1 27 19 0.2 2.66072
1 28 19 0.36 0.774
1 29 19 0.24 2.229684
1 30 19 0.36 0.631412
1 2 20 0.36 0.570136
1 3 20 0.36 0.660112
1 5 20 0.44 1.18252
1 6 20 0.2 0.6649
1 7 20 0.36 0.995596
1 9 20 0.44 0.340148
1 10 20 0.48 1.903868
1 11 20 0.4 0.746272
1 12 20 0.24 3.671588
1 13 20 0.28 1.142276
1 15 20 0.12 1.300384
1 16 20 0.24 2.01014
1 18 20 0.24 1.457056
1 19 20 0.32 0.404732
1 20 20 0.2 0.681432
1 21 20 0.24 0.401804
